id,raw_id,japanese,hiragana,chinese,level,pos,example_1,gloss_1,example_2,gloss_2,example_3,gloss_3,is_delisted
10030,N1_0030,後回し,あとまわし,推迟,N1,名,支[し]払[はら]いを後[あと]回[まわ]しにする。,推迟支付。,仕[し]事[ごと]を後[あと]回[まわ]しにする。,推迟工作。,後[あと]回[まわ]しにしないで。,不要拖延。,false
10031,N1_0031,appeal,アピール,呼吁；（有）吸引力,N1,名*自他動3,自[じ]己[こ]アピール,自我宣传,自[じ]分[ぶん]をアピールする。,展示自我。,商[しょう]品[ひん]のアピール力[りょく],商品的吸引力,false
10032,N1_0032,aftercare,アフターケア,病后调养；售后服务,N1,名,手[しゅ]术[じゅつ]後[ご]のアフターケアが大[だい]事[じ]だ。,手术后的调养很重要。,アフターケアが充[じゅう]実[じつ]している。,售后服务很完善。,アフターケア体[たい]制[せい],售后服务体系,false
10033,N1_0033,アフターサービス,アフターサービス,售后服务,N1,名,アフターサービスが良[よ]い。,售后服务好。,アフターサービスセンター,售后服务中心,充[じゅう]実[じつ]したアフターサービス,完善的售后服务,false
10034,N1_0034,油絵,あぶらえ,油画,N1,名,油[あぶら]絵[え]を描[か]く。,画油画。,油[あぶら]絵[え]の具[ぐ],油画工具,油[あぶら]絵[え]展[てん]覧[らん]会[かい],油画展览会,false
10035,N1_0035,approach,アプローチ,接近；探讨，研究,N1,名*自動3,言[げん]語[ご]学[がく]的[てき]アプローチ,语言学上的研究,問[もん]題[だい]にアプローチする。,探讨问题。,新[あたら]しいアプローチ,新的方法,false
10036,N1_0036,甘える,あまえる,撒娇，任性；承蒙,N1,自動2,他[た]人[にん]の好[こう]意[い]に甘[あま]える。,接受别人的好意。,親[おや]に甘[あま]える。,向父母撒娇。,甲[こう]斐[かい]を言[い]って甘[あま]える。,撒娇。,false
10037,N1_0037,甘口,あまくち,甜味的；喜欢欢吃甜食的（人）；甜言蜜语,N1,名*ナ形,人[ひと]の甘[あま]口[くち]に乗[の]せられる。,被人家的甜言蜜语所欺騙。,甘[あま]口[くち]の食[た]べ物[もの],甜食,甘[あま]口[くち]で誘[さそ]う。,用甜言蜜语诱惑。,false
10038,N1_0038,甘んじる,あまんじる,甘愿，满足,N1,自動2,現[げん]状[じょう]に甘[あま]んじる。,满足于现状。,運[うん]命[めい]に甘[あま]んじる。,甘心于命运。,罰[ばつ]を甘[あま]んじて受[う]ける。,甘愿接受惩罚。,false
10039,N1_0039,誤る,あやまる,弄错,N1,自他動1,判[はん]断[だん]を誤[あやま]る。,判断错误。,道[みち]を誤[あやま]る。,走错路，误入歧途。,一[いっ]歩[ぽ]誤[あやま]れば大[たい]変[へん]だ。,一旦弄错就不得了。,false
10040,N1_0040,荒っぽい,あらっぽい,粗暴的，粗鲁的,N1,イ形,言[こと]葉[ば]遣[づか]いが荒[あら]っぽい。,用词粗鲁。,荒[あら]っぽい性[せい]格[かく],粗暴的性格,荒[あら]っぽい運[うん]転[てん],粗鲁的驾驶,false
10041,N1_0041,ありきたり,ありきたり,ー般，普通,N1,名*ナ形,ありきたりの考[かんが]え,寻常的想法,ありきたりの方[ほう]法[ほう],普通的方法,これはありきたりの話[はなし]だ。,这是老生常谈。,false
10042,N1_0042,ありとあらゆる,ありとあらゆる,所有的,N1,連体,ありとあらゆる手[しゅ]段[だん]を尽[つ]くした。,用尽了所有的办法。,ありとあらゆる场[ば]所[しょ]を探[さが]す。,寻找所有的地方。,ありとあらゆる可[か]能[のう]性[せい],所有的可能性,false
10043,N1_0043,alcohol,アルコール,酒精；酒,N1,名,工[こう]业[ぎょう]用[よう]アルコール,工业用酒精。,アルコール分[ぶん],酒精成分（含量）。,アルコール饮[いん]料[りょう],含有酒精的饮料。酒。（飲料）。,false
10044,N1_0044,合わす,あわす,并；配合；核对,N1,他動1,相[あい]手[て]に合[あ]わして、事[こと]を進[すす]める。,配合对方做事。,答[こた]えを合[あ]わす。,核对答案。,手[て]を合[あ]わす。,双手合十。,false
10045,N1_0045,encore,アンコール,要求重演,N1,名*他動3,お客[きゃく]さんのアンコールにこたえる。,满足客人的要求，再来ー次。,アンコール放[ほう]送[そう],重播,拍[はく]手[しゅ]でアンコールを求[もと]める。,用掌声要求返场。,false
10046,N1_0046,案の定,あんのじょう,果然,N1,副,彼[かれ]のプロポーズは案[あん]の定[じょう]断[ことわ]られてしまった。,他的求婚果然遭到了拒絶。,案[あん]の定[じょう]、失[しっ]敗[ぱい]した。,果然失败了。,結[けっ]果[か]は案[あん]の定[じょう]だった。,结果不出所料。,false
10047,N1_0047,言いそびれる,いいそびれる,（失去机会）没能说出,N1,他動2,彼[かれ]にお礼[れい]を言[い]いそびれた。,没有机会跟他道谢。,肝[かん]心[じん]なことを言[い]いそびれる。,关键的事情没能说出口。,さよならを言[い]いそびれた。,没能说出道别的话。,false
10048,N1_0048,言い張る,いいはる,坚持主张，固执己见,N1,他動1,自[じ]分[ぶん]の無[む]実[じつ]を言[い]い張[は]る。,坚称自己是冤枉的。,正[せい]当[とう]性[せい]を言[い]い張[は]る。,坚持自己的正当性。,嘘[うそ]だと言[い]い張[は]る。,一口咬定是谎言。,false
10049,N1_0049,家路,いえじ,回家的路,N1,名,家[いえ]路[じ]を急[いそ]ぐ。,急着回家。,家[いえ]路[じ]につく。,踏上归途。,家[いえ]路[じ]をたどる。,走回家的路。,false
10050,N1_0050,威嚇,いかく,威吓,N1,名*他動3,犬[いぬ]が牙[きば]を向[む]いて人[ひと]を威[い]嚇[かく]する。,狗龇牙咧嘴地吓唬人。,威[い]嚇[かく]射[しゃ]撃[げき]を行[おこな]う。,进行威慑射击。,大[おお]声[ごえ]で威[い]嚇[かく]する。,大声恐吓。,false
10051,N1_0051,異議,いぎ,异议,N1,名,異[い]議[ぎ]を唱[とな]える。,提出异议。,異[い]議[ぎ]申[もう]し立[た]て,提出异议申诉,異[い]議[ぎ]なし。,没有异议。,false
10052,N1_0052,遺棄,いき,遗弃,N1,名*他動3,死[し]体[たい]を遺[い]棄[き]する。,遗弃尸体。,責[せき]任[にん]を遺[い]棄[き]する。,放弃责任。,遺[い]棄[き]罪[ざい]に問[と]われる。,被追究遗弃罪。,false
10053,N1_0053,意気込み,いきごみ,干劲，热情,N1,名,最[さい]初[しょ]の意[い]気[き]込[ご]みはどこへ行[い]った？,开始的热情到哪里去了？,意[い]気[き]込[ご]みを語[かた]る。,讲述抱负。,凄[すご]い意[い]気[き]込[ご]みだ。,干劲十足。,false
10054,N1_0054,意気込む,いきごむ,振奋，鼓起干劲,N1,自動1,一[いっ]年[ねん]で日[に]本[ほん]語[ご]をマスターすると意[い]気[き]込[ご]んでいる。,干劲十足地想要ー年内学好日语。,優[ゆう]勝[しょう]すると意[い]気[き]込[ご]む。,意气风发地想要夺冠。,今[こん]度[ど]こそはと意[い]気[き]込[ご]む。,鼓足干劲要在这次成功。,false
10055,N1_0055,憤り,いきどおり,愤怒,N1,名,憤[いきどお]りを禁[きん]じえない。,不禁感到愤怒。,憤[いきどお]りを覚[おぼ]える。,感到愤怒。,行[い]き場[ば]のない憤[いきどお]り,无处发泄的愤怒,false
10056,N1_0056,息抜き,いきぬき,休息ー下，歇ロ气,N1,名*自動3,息[いき]抜[ぬ]きにコーヒーを飲[の]む。,喝杯咖啡休息ー下。,仕[し]事[ごと]の息[いき]抜[ぬ]き,工作的间歇,たまには息[いき]抜[ぬ]きも必[ひつ]要[よう]だ。,偶尔也需要放松一下。,false
10057,N1_0057,育成,いくせい,培育，培养,N1,名*他動3,人[じん]材[ざい]を育[いく]成[せい]する。,培养人才。,後[こう]継[けい]者[しゃ]の育[いく]成[せい],培养接班人,選[せん]手[しゅ]を育[いく]成[せい]する。,培养选手。,false
10058,N1_0058,幾多,いくた,多少，许多,N1,名*副,幾[いく]多[た]の試[し]練[れん]を越[こ]える。,历经考验。,幾[いく]多[た]の困[こん]難[なん]があった。,有过许多困难。,幾[いく]多[た]の人[じん]生[せい],许多种人生,false
10059,N1_0059,いささか,いささか,有点，稍微；（与否定相呼应）丝毫不,N1,副,いささか自[じ]信[しん]がある。,有点信心。,いささかも譲[じょう]歩[ほ]しなかった。,丝毫没有作出让步。,いささか疲[つか]れた。,稍微有点累了。,false
10060,N1_0060,衣装,いしょう,（特殊）衣裳，服装,N1,名,馬[ま]子[ご]にも衣[い]装[しょう]。,人靠衣裳马靠鞍,舞[ぶ]台[たい]衣[い]装[しょう],舞台服装,花[はな]嫁[よめ]衣[い]装[しょう],新娘礼服,false
10061,N1_0061,移植,いしょく,移植,N1,名*他動3,心[しん]臓[ぞう]移[い]植[しょく]手[しゅ]術[じゅつ],心脏移植手术,臓[ぞう]器[き]を移[い]植[しょく]する。,移植器官。,植[しょく]物[ぶつ]を移[い]植[しょく]する。,移植植物。,false
10062,N1_0062,移籍,いせき,转移户籍；（运动员）转会,N1,名*自動3,ほかの球[きゅう]団[だん]に移[い]籍[せき]する。,转会其他的职业棒球団。,移[い]籍[せき]交[こう]渉[しょう],转会交涉,海[かい]外[がい]チームへ移[い]籍[せき]する。,转会到海外球队。,false
10063,N1_0063,依存,いそん,依存，依靠,N1,名*自動3,外[がい]国[こく]に依[い]存[そん]する。,依赖国外。,観[かん]光[こう]資[し]源[げん]に依[い]存[そん]する。,依靠观光资源。,親[おや]に依[い]存[そん]する。,依赖父母。,false
10064,N1_0064,委託,いたく,委托,N1,名*他動3,事[じ]件[けん]の処[しょ]理[り]を委[い]託[たく]する。,委托处理事件。,業[ぎょう]務[む]を委[い]託[たく]する。,委托业务。,販[はん]売[ばい]委[い]託[たく],委托销售,false
10065,N1_0065,致し方ない,いたしかたない,没有办法,N1,連語,致[いた]し方[かた]ない事[じ]情[じょう],无奈的情况,そう言[い]われても致[いた]し方[かた]ない。,就算那么说也没办法。,諦[あきら]めるのも致[いた]し方[かた]ない。,无奈只好放弃。,false
10066,N1_0066,痛手,いたで,重伤；重创,N1,名,痛[いた]手[で]を負[お]う。,受重伤。,不[ふ]況[きょう]で痛[いた]手[で]を被[こうむ]る。,因不景气，损失惨重。,大[おお]きな痛[いた]手[で]を受[う]ける。,受到重大打击。,false
10067,N1_0067,炒める,いためる,炒（食物）,N1,他動2,野[や]菜[さい]を炒[いた]める。,炒蔬菜。,肉[にく]と野[や]菜[さい]を炒[いた]める。,炒肉和蔬菜。,強[つよ]火[び]で炒[いた]める。,用大火炒。,false
10068,N1_0068,至れり尽くせり,いたれりつくせり,无微不至，尽善尽美,N1,名,至[いた]れり尽[つ]くせりのサービス,无微不至的服务,至[いた]れり尽[つ]くせりのもてなし,殷勤的款待,至[いた]れり尽[つ]くせりだ。,无微不至。,false
10069,N1_0069,異端児,いたんじ,异端分子,N1,名,映[えい]画[が]界[かい]の異[い]端[たん]児[じ],电影圈的异端分子,政[せい]界[かい]の異[い]端[たん]児[じ],政界的异类,彼[かれ]は異[い]端[たん]児[じ]扱[あつか]いされている。,他被视为异类。,false
10070,N1_0070,一か八か,いちかばちか,碰运气，听天由命,N1,副,一[いち]か八[ばち]かやってみよう。,不管怎样，碰碰运气看。,一[いち]か八[ばち]かの勝[しょう]負[ぶ],孤注一掷的决胜,一[いち]か八[ばち]か賭[か]けてみる。,碰运气赌一把。,false
10071,N1_0071,一眼レフ,いちがんレフ,单反相机,N1,名,一[いち]眼[がん]レフカメラ,单反相机,デジタル一[いち]眼[がん]レフ,数码单反,一[いち]眼[がん]レフを買[か]う。,买单反相机。,false
10072,N1_0072,著しい,いちじるしい,明显的，显著的,N1,イ形,著[いちじる]しい発[はっ]展[てん]を遂[と]げる。,取得显著的发展。,効[こう]果[か]が著[いちじる]しい。,效果显著。,著[いちじる]しい進[しん]歩[ぽ],显著的进步,false
10073,N1_0073,一番乗り,いちばんのり,最先到场,N1,名*自動3,会[かい]場[じょう]に一[いち]番[ばん]乗[の]りした。,最先到达会场。,彼[かれ]はいつも一[いち]番[ばん]乗[の]りだ。,他总是第一个到。,ゴールに一[いち]番[ばん]乗[の]りする。,第一个到达终点。,false
10074,N1_0074,一目散に,いちもくさんに,一溜烟地,N1,副,警[けい]官[かん]に追[お]われて、一[いち]目[もく]散[さん]に逃[に]げる。,被警察追得ー溜烟地跑掉了。,一[いち]目[もく]散[さん]に駆[か]け出[だ]す。,飞奔而去。,家[いえ]へ一[いち]目[もく]散[さん]に帰[かえ]る。,飞快地跑回家。,false
10075,N1_0075,一様,いちよう,同样；普通，平常,N1,名*ナ形,経[けい]営[えい]者[しゃ]は一[いち]様[よう]に利[り]益[えき]を求[もと]めている。,经营者同样都追求利益。,みな一[いち]様[よう]に驚[おどろ]く。,大家同样感到吃惊。,一[いち]様[よう]な反[はん]応[のう],同样的反应,false
10076,N1_0076,一挙に,いっきょに,一举,N1,副,一[いっ]挙[きょ]に解[かい]決[けつ]する。,一举解決。,点[てん]差[さ]を一[いっ]挙[きょ]に縮[ちぢ]める。,一举缩小分差。,一[いっ]挙[きょ]に形[けい]勢[せい]を逆[ぎゃく]転[てん]する。,一举逆转形势。,false
10077,N1_0077,一見,いっけん,看ー眼，乍ー看,N1,名*他動3*副,一[いっ]見[けん]たやすい仕[し]事[ごと]に思[おも]えた。,乍一看像是份容易的工作。,百[ひゃく]聞[ぶん]は一[いっ]見[けん]に如[し]かず。,百闻不如一见。,一[いっ]見[けん]の価[か]値[ち]がある。,值得一看。,false
10078,N1_0078,一刻も早く,いっこくもはやく,尽快；火速,N1,副,一[いっ]刻[こく]も早[はや]く家[か]族[ぞく]に会[あ]いたい。,想尽快见到家人。,一[いっ]刻[こく]も早[はや]く知[し]らせる。,火速通知。,一[いっ]刻[こく]も早[はや]く避[ひ]難[なん]する。,尽快避难。,false
10079,N1_0079,一切,いっさい,全部；一概,N1,名*副,一[いっ]切[さい]の責[せき]任[にん]を負[お]う。,负全部责任。,申[しん]請[せい]期[き]限[げん]を過[す]ぎた場[ば]合[あい]は一[いっ]切[さい]受[う]け付[つ]けません。,过期申请一概不受理。,費[ひ]用[よう]は一[いっ]切[さい]かからない。,一切费用全免。,false
10080,N1_0080,逸材,いつざい,卓越的人才,N1,名,彼[かれ]は田[た]中[なか]先[せん]生[せい]門[もん]下[か]の逸[いつ]材[ざい]です。,他是田中老师门下的高足。,十[じゅう]年[ねん]に一[いち]人[にん]の逸[いつ]材[ざい],十年一遇的人才,将[しょう]来[らい]を嘱[しょく]望[ぼう]される逸[いつ]材[ざい],被寄予厚望的人才,false
10081,N1_0081,一心,いっしん,齐心，同心；一心，专心致志,N1,名*副,一[いっ]心[しん]に勉[べん]強[きょう]する。,专心学习。,一[いっ]心[しん]に祈[いの]りを捧[ささ]げる。,一心祈祷。,夫[ふう]婦[ふ]一[いっ]心[しん]同[どう]体[たい],夫妻同心,false
10082,N1_0082,一帯,いったい,一带,N1,名,このあたり一[いっ]帯[たい]には野[の]良[ら]猫[ねこ]が多[おお]い。,这一带野猫很多。,関[かん]東[とう]一[いっ]帯[たい]に大[おお]雪[ゆき]が降[ふ]る。,关东一带下大雪。,工[こう]業[ぎょう]地[ち]帯[たい]一[いっ]帯[たい],工业地带一带,false
10083,N1_0083,意図,いと,动机，意图；试图，打算,N1,名*他動3,相[あい]手[て]の意[い]図[と]を見[み]抜[ぬ]く。,看穿对方的意图。,作[さく]者[しゃ]の意[い]図[と]を考[かんが]える。,思考作者的意图。,早[そう]期[き]解[かい]決[けつ]を意[い]図[と]する。,试图早期解决。,false
10084,N1_0084,異動,いどう,变动，调动,N1,名*自動3,人[じん]事[じ]異[い]動[どう],人事变动,本[ほん]社[しゃ]に異[い]動[どう]になる。,调动到总公司。,住[じゅう]所[しょ]に異[い]動[どう]はない。,住址没有变动。,false
10085,N1_0085,愛しい,いとしい,可怜的；可爱的,N1,イ形,愛[いと]しいわが子[こ],我家可爱的孩子,愛[いと]しい人[ひと],爱人,故[こ]郷[きょう]が愛[いと]しい。,怀念故乡。,false
10086,N1_0086,未だ,いまだ,（后多接否定）尚未,N1,副,未[いま]だかつて見[み]たことがない。,从未见过。,未[いま]だに解[かい]決[けつ]されていない。,至今尚未解决。,未[いま]だ詳[つまび]らかではない。,尚不清楚。,false
10087,N1_0087,今時,いまどき,现如今，现在,N1,名,今[いま]時[どき]の若[わか]者[もの],現在的年轻人,今[いま]時[どき]珍[めずら]しい。,这年头很罕见。,今[いま]時[どき]流[はや]らない。,现在不流行了。,false
10088,N1_0088,嫌がらせ,いやがらせ,故意讨人嫌,N1,名,嫌[いや]がらせメール,骚扰（人的）短信,嫌[いや]がらせを受[う]ける。,受到骚扰。,嫌[いや]がらせを言[い]う。,说风凉话。,false
10089,N1_0089,いやに,いやに,特別，异常,N1,副,1月[いちがつ]にしてはいやに暑[あつ]い。,虽说是ー月份， 但天气异常得热。,今[きょう]日[び]はいやに静[しず]かだ。,今天异常安静。,いやに親[しん]切[せつ]だ。,格外亲切。,false
10090,N1_0090,嫌らしい,いやらしい,讨厌的，让人不舒服的,N1,イ形,目[め]つきが嫌[いや]らしい。,眼神让人感到不舒服。,嫌[いや]らしい男[おとこ],令人讨厌的男人,手[て]つきが嫌[いや]らしい。,手脚不干净。,false
10091,N1_0091,意欲,いよく,热情，积极性,N1,名,子[こ]どもの学[がく]習[しゅう]意[い]欲[よく]を高[たか]める。,提高孩子的学习积极性。,創[そう]作[さく]意[い]欲[よく]がわく。,创作欲望涌现。,意[い]欲[よく]的[てき]に取[と]り組[く]む。,积极地致力于。,false
10092,N1_0092,イラスト,イラスト,插图,N1,名,本[ほん]にイラストを入[い]れる。,给书添加插图。,表[ひょう]紙[し]のイラスト,封面的插图,イラストを描[か]く。,画插图。,false
10093,N1_0093,入り,いり,收入，进项；入场人数,N1,名,バーゲンの初[しょ]日[にち]は客[きゃく]の入[い]りがよい。,大甩卖开始第ー天客流量较好。,実[み]入[い]りがいい。,收入不错。,今[きょう]日[び]の入[い]りはどうですか。,今天的入座率怎么样？,false
10094,N1_0094,慰留,いりゅう,挽留,N1,名*他動3,転[てん]職[しょく]希[き]望[ぼう]の部[ぶ]下[か]を慰[い]留[りゅう]する。,挽留想跳槽的下属。,辞[じ]任[にん]を慰[い]留[りゅう]する。,挽留辞职。,慰[い]留[りゅう]に努[つと]める。,努力挽留。,false
10095,N1_0095,入り用,いりよう,必要的。需要的,N1,名*ナ形,入[い]り用[よう]な物[もの],需要的东西,急[きゅう]に入[い]り用[よう]ができる。,急需用钱。,旅[りょ]費[ひ]が入[い]り用[よう]だ。,需要旅费。,false
10096,N1_0096,陰湿,いんしつ,阴暗潮湿；阴毒,N1,名*ナ形,陰[いん]湿[しつ]ないじめ,阴毒的欺负,陰[いん]湿[しつ]な手[て]口[ぐち],阴毒的手段,陰[いん]湿[しつ]な部[へ]屋[や],阴暗潮湿的房间,false
10097,N1_0097,inspiration,インスピレーシヨン,灵感,N1,名,インスピレーションがわく。,灵感涌现。,インスピレーションを得[え]る。,获得灵感。,芸[げい]術[じゅつ]的[てき]なインスピレーション,艺术灵感,false
10098,N1_0098,interphone,インターフォン,对讲机,N1,名,インターフォンが鳴[な]る。,对讲机响了。,インターフォンで話[はな]す。,用对讲机说话。,インターフォン越[ご]しに対[たい]応[おう]する。,隔着对讲机应对。,false
10099,N1_0099,インテリ,インテリ,知识分子,N1,名,彼[かれ]はインテリだ。,他是个知识分子。,インテリ層[そう],知识阶层,インテリぶる。,装作知识分子的样子。,false
10100,N1_0100,隠蔽,いんぺい,掩盖,N1,名*他動3,真[しん]相[そう]を隠[いん]蔽[ぺい]する。,掩盖真相。,証[しょう]拠[こ]隠[いん]蔽[ぺい],掩盖证据,事[じ]実[じつ]を隠[いん]蔽[ぺい]しようとする。,企图掩盖事实。,false
10101,N1_0101,weekday,ウイークデー,工作日，平日,N1,名,ウイークデーは忙[いそが]しい。,工作日很忙。,ウイークデーの午[ご]後[ご],工作日的下午,ウイークデーのほうがいい。,平日比较好。,false
10102,N1_0102,wit,ウイット,机智；妙语,N1,名,ウイットに富[と]む。,富于机智。,ウイットのある発[はつ]言[げん],机智的发言,ウイットに欠[か]ける。,缺乏机智。,false
